group_id,account_id,contact_id,role,is_primary,added_at
BG-39DF1AFA,0017ZpRREyu0xUNxMk,003GMPRbtpqAKZ82id,champion,True,2026-08-08
BG-39DF1AFA,0017ZpRREyu0xUNxMk,003vSm1cXIKdObrpEr,user,False,2026-08-08
BG-C5677882,001wlaDCnCdllvimD4,003o1KW3FT7J1Wb6gG,champion,True,2026-08-08
BG-C5677882,001wlaDCnCdllvimD4,0038fTcys9JCPx7ZYQ,economic_buyer,False,2026-08-08
BG-C5677882,001wlaDCnCdllvimD4,0031O9ZsJHxSgc5kFi,user,False,2026-08-08
BG-236C4B96,001om06Dwt0Y3oobQm,003tQLxEJHwBVJvwSD,champion,True,2026-08-08
BG-236C4B96,001om06Dwt0Y3oobQm,003uhVI8WSlmnVErUL,economic_buyer,False,2026-08-08
BG-236C4B96,001om06Dwt0Y3oobQm,003oxltaTIircdJsS8,user,False,2026-08-08
BG-236C4B96,001om06Dwt0Y3oobQm,003KsEECvl9dq83Eh0,user,False,2026-08-08
BG-236C4B96,001om06Dwt0Y3oobQm,0037O1RLhX5CDQL9Gi,economic_buyer,False,2026-08-08
BG-D9521FB8,001B6ICJ1JKEWzvaOw,003e9k8XA1wJ6glkhd,champion,True,2026-08-08
BG-D9521FB8,001B6ICJ1JKEWzvaOw,003vriF5P63luchp9A,user,False,2026-08-08
BG-D9521FB8,001B6ICJ1JKEWzvaOw,003qJ7LLUAsjmvoyK1,user,False,2026-08-08
BG-81345BB5,0018pb10cLQ0vkB1eE,003gF41vvjhfxjw0U8,champion,True,2026-08-08
BG-81345BB5,0018pb10cLQ0vkB1eE,003tT8Vs3kvf9rHxYC,economic_buyer,False,2026-08-08
BG-5AB0A131,001nW98aLpiWzUMZtE,003W4dZ2v2dIiMtvbC,champion,True,2026-08-08
BG-5AB0A131,001nW98aLpiWzUMZtE,003H691WGD0xx81PYU,user,False,2026-08-08
BG-DC15AE2A,001zJ1DMIY5suKOMgP,0032kprEnDkDmvntmO,champion,True,2026-08-08
BG-DC15AE2A,001zJ1DMIY5suKOMgP,003HFasaAd1KVpFGWD,influencer,False,2026-08-08
BG-B3C22D92,001Ro9LKAn1aSYMmyY,003Cz5BK79Vc8PxESN,champion,True,2026-08-08
BG-B3C22D92,001Ro9LKAn1aSYMmyY,0034Kp57AK0Q8FTBl6,user,False,2026-08-08
BG-B3C22D92,001Ro9LKAn1aSYMmyY,003wk15qV1Sfsbydk2,economic_buyer,False,2026-08-08
BG-99D8C1B6,001bnKtBrKYKSSBpwN,003zGvsU55UC7Ep3Fv,champion,True,2026-08-08
BG-99D8C1B6,001bnKtBrKYKSSBpwN,003KHkRykirtrFjekB,economic_buyer,False,2026-08-08
BG-517E9B7B,001zeskKCwlSjzF33C,0039dOnvbLvkGO5FvE,champion,True,2026-08-08
BG-517E9B7B,001zeskKCwlSjzF33C,003dSq7BAsMzOeip2s,economic_buyer,False,2026-08-08
BG-0FCE514E,001y7oXm8Oa2wFG5HC,0038lsG6yy7CXcdEmA,champion,True,2026-08-08
BG-0FCE514E,001y7oXm8Oa2wFG5HC,003Qv4XNiMyjkl1SXN,economic_buyer,False,2026-08-08
BG-1180FF18,001XkIYYMYi2hcBYX0,003Mt2xVzKFS6UVS1X,champion,True,2026-08-08
BG-1180FF18,001XkIYYMYi2hcBYX0,003PIHF48i2GDrmZhv,user,False,2026-08-08
