consent_id,contact_id,basis,region,status,channel,source,captured_at,expires_at
CNSmbl1q6gb1Riy,003U9ntar9qHDO0O2g,soft_opt_in,MY,active,web_form,intake_form,2026/07/20,
CNSntDpxZxQk8HZ,003w7ukqUuHpdv3kzS,opt_in,TH,active,web_form,intake_form,2026/07/19,
CNSehj47iYmmIyS,003D0NqqfNWcV6vKmA,opt_in,SG,active,web_form,intake_form,2026/07/11,
CNSOp6cWNLm2IsY,003HYUk5qeCLEy84w3,consent,IN,active,web_form,intake_form,2026/07/04,
CNSOYr3i2G9L4Fn,003Igq6SQZ3mRXtF30,soft_opt_in,SG,active,web_form,intake_form,2026/07/02,
CNSNekGyW4PWGxF,003QlEpPry7qGIEmHs,opt_in,TH,active,web_form,intake_form,2026/07/16,
CNSTxHSET9FErLz,003U37E6Sw582fZHHC,opt_in,SG,active,web_form,intake_form,2026/07/19,
CNSno5mC3pzntB4,0038fTcys9JCPx7ZYQ,opt_in,MY,active,web_form,intake_form,2026/07/11,
CNS1xqJfiWfsCHw,003l9VdcB26P6bCNuN,opt_in,MY,active,web_form,intake_form,2026/07/06,
CNSGNvBCDBAxZFu,003brDwl9OJmTTZ92I,soft_opt_in,TH,expired,web_form,intake_form,2026/07/08,
CNSCoqPew5fs1GG,003kkoV7mMkSC0kmfR,soft_opt_in,ID,withdrawn,web_form,intake_form,2026/07/17,
CNS7oghexcImvmR,003lg0XafmfEX4pvYb,opt_in,ID,active,web_form,intake_form,2026/07/10,
CNS0XR2rmTMi2WT,003tCTcFQnlCxeKzeF,soft_opt_in,ID,active,web_form,intake_form,2026/07/17,
CNSts0wYz8z0LWP,003ItBoLrg7SGJlmBh,soft_opt_in,ID,withdrawn,web_form,intake_form,2026/06/30,
CNSW8j3zooUVnEo,003HO1DgljEAXus2tS,soft_opt_in,MY,active,web_form,intake_form,2026/07/15,
CNSWDU0DvYfu2mB,003aD7r3Cq4VL6BJTa,soft_opt_in,ID,active,web_form,intake_form,2026/07/13,
CNS2JbxiK3it8Va,003kFbJUEHEkfD5bBt,opt_in,ID,active,web_form,intake_form,2026/07/15,
CNSABRWzWXSItuL,003iu38QNGXOJeqHFR,opt_in,ID,active,web_form,intake_form,2026/06/29,
CNS7ij8vKOZM6MK,003BOazPKL7xVdf2Jn,consent,IN,active,web_form,intake_form,2026/07/12,
CNSzeIymEgvK9CO,003iBqmu22ouvvmK2x,soft_opt_in,MY,active,web_form,intake_form,2026/07/09,
CNSRJlc0SMFblme,003jwfSDUNR99bAqQO,consent,IN,active,web_form,intake_form,2026/07/12,
CNSsQHeDdxHaku3,003BOZKqDrxTq48KBs,opt_in,MY,active,web_form,intake_form,2026/07/13,
CNShiIAEVey953n,003qJpbc3hrClcIFuO,opt_in,ID,active,web_form,intake_form,2026/04/07,
CNS0TQEkMK8tLmG,003qVtnE3I3rpb9XtW,opt_in,ID,active,web_form,intake_form,2026/07/14,
CNSjCe0zMZpHv6K,003r4UPWYyigjcqffH,opt_in,SG,active,web_form,intake_form,2026/07/15,
CNScVfsP46DwS1T,003GkoblyoazHXA4yo,consent,IN,active,web_form,intake_form,2026/07/09,
CNSZ2lApl5NUBDy,0033mj4VEg9rs779TN,soft_opt_in,TH,active,web_form,intake_form,2026/07/04,
CNSS8cp43kr4OIs,003RpNTfclJb0OUUe8,soft_opt_in,SG,active,web_form,intake_form,2026/02/07,
CNSAWJhxeWgGXXu,003HFasaAd1KVpFGWD,opt_in,ID,active,web_form,intake_form,2026/07/13,
CNSnGcDbeOSRVDy,003MgrLIPzZwp9iL2H,soft_opt_in,SG,active,web_form,intake_form,2026/07/10,
CNSzcaqhT6iuQVD,003rRwIb9kQG9t44Vw,opt_in,IN,active,web_form,intake_form,2026/07/15,
CNSJQpT8CiE0r1k,0034rMTS25O03JATmh,opt_in,IN,expired,web_form,intake_form,2026/07/05,
CNSlshIVzkeQWaR,003oOBGVzbrYIzgfgJ,opt_in,SG,active,web_form,intake_form,2026/08/07,
CNSlnTc5RInCSd1,00358cUV8YFLgvCWaH,opt_in,MY,active,web_form,intake_form,2026/07/19,
CNSTQ5gyStCdMad,003DXS50KTAc2rQf0e,opt_in,ID,active,web_form,intake_form,2026/12/07,
CNSx6pmfbAbav0m,003jxEtAjl3KDsP3Fp,opt_in,TH,active,web_form,intake_form,2026/02/07,
CNSgZ11QkUkcAGg,003oE5P6hX3idrPYJM,consent,IN,active,web_form,intake_form,2026/07/10,
CNSmNn7Iz8Bhong,00394nRXXTNWuznrcs,soft_opt_in,ID,active,web_form,intake_form,2026/07/11,
CNSzPuaynDoeQ0r,003kjiX6W2ofqEgQnM,soft_opt_in,ID,active,web_form,intake_form,2026/07/19,
CNSe4nAtXMFgTIY,003vSm1cXIKdObrpEr,soft_opt_in,MY,active,web_form,intake_form,2026/07/18,
CNSgMuOSyR7XSiv,003tQLxEJHwBVJvwSD,opt_in,MY,active,web_form,intake_form,2026/07/05,
CNSQEevbM6LCyGO,003uhVI8WSlmnVErUL,opt_in,MY,active,web_form,intake_form,2026/07/06,
CNSaobNW5htpVBW,003oxltaTIircdJsS8,soft_opt_in,MY,active,web_form,intake_form,2026/07/06,
CNSixFsmjynPcp7,003KsEECvl9dq83Eh0,opt_in,MY,expired,web_form,intake_form,2026/07/19,
CNSviruPYWcHYAP,003jjZK8tfphJWAMMY,opt_in,IN,active,web_form,intake_form,2026/07/09,
CNSUvvpnId66QpZ,0033LBtKNdN9Vg8WnO,consent,IN,active,web_form,intake_form,2026/07/06,
CNSHulCOae3Fe9m,003ekaACSMEscosTsS,consent,IN,active,web_form,intake_form,2026/01/07,
CNSiflLJ1Y7npGf,003QZ7mBhIoPj6r0je,opt_in,EU,active,web_form,intake_form,2026/07/13,
CNSUmpBlMptsKC9,0036sChDStSz8rGIFC,soft_opt_in,MY,active,web_form,intake_form,2026/07/20,
CNSYEf8xzykECBG,003qbfo9R13KL8bWR0,opt_in,TH,active,web_form,intake_form,2026/07/19,
CNS09YEbWyB2fW6,003O0FfEwAvuQg2kvA,opt_in,ID,active,web_form,intake_form,2026/07/08,
CNSJUlqyDtDsyJM,003Xz3G0aQ3IDAdmHx,consent,IN,active,web_form,intake_form,2026/07/15,
CNSTEmj6maa3GUU,003hbOMZpTktJaJAfo,consent,IN,active,web_form,intake_form,2026/07/11,
CNSA8zVxyFtPLeA,0031EEpDJjym6MGV4i,soft_opt_in,SG,active,web_form,intake_form,2026/07/01,
CNSKkmWB9qX6WUw,0033jCIEwvJWIyD7u3,opt_in,TH,active,web_form,intake_form,2026/07/16,
CNSxSdPy7BVppEc,003VET6ZyyQY0PjF9c,opt_in,MY,active,web_form,intake_form,2026/07/11,
CNSPjqMD8RjqpML,003aUjA3PjeEYqvNSz,soft_opt_in,MY,active,web_form,intake_form,2026/07/05,
CNSfPT6yzTL5fH6,003NepOR6soVfBgWOT,consent,IN,active,web_form,intake_form,2026/07/06,
CNSBqStG9IQ4yLt,003xBjpHAKRYlklfN3,consent,IN,active,web_form,intake_form,2026/07/13,
CNSKXZw0jrVn7Vz,003Qa5ZD5sRIkeC8wL,soft_opt_in,MY,active,web_form,intake_form,2026/07/09,
CNS0FageXSAHAPs,003gpyKwKsSsb1Qzra,opt_in,MY,active,web_form,intake_form,2026/07/13,
CNSlTimFlG8hCK0,003NqRWUXQR1iOg5OP,soft_opt_in,TH,active,web_form,intake_form,2026/06/07,
CNSVlZWmq53ACO6,003VAlmiYI4xHG6r1k,soft_opt_in,TH,active,web_form,intake_form,2026/07/19,
CNSkfsfyhrevbLp,003YzaqIhDxRVRqLy0,legitimate_interest,EU,active,web_form,intake_form,2026/07/15,
CNSgadrW9aQLYcg,003ic8ctFhgp4IiyDx,opt_in,ID,active,web_form,intake_form,2026/07/05,
CNSyMH9Wr7FEWvM,003RxI5Pwdzrm9h820,consent,EU,active,web_form,intake_form,2026/07/13,
CNS4vu0p8xQzyNd,00303ovXjY5Mar2jiI,consent,IN,active,web_form,intake_form,2026/07/11,
CNSaD3SzU147ibM,003VAHhVeECXxGLgCG,soft_opt_in,TH,active,web_form,intake_form,2026/07/02,
CNSSW0pxCNRQ3EG,0035fuMjeirNOLJTuy,soft_opt_in,SG,active,web_form,intake_form,2026/07/13,
CNSO980ubOx3cZV,003Av0DzAUguBuQqx9,opt_in,ID,withdrawn,web_form,intake_form,2026/07/10,
CNSFzVNYfwB8787,003vQhAw3Q8WB36Ud9,opt_in,TH,active,web_form,intake_form,2026/07/15,
CNSsMmTj3H4KY2T,003oZB2JX0NNRPJbM7,soft_opt_in,MY,active,web_form,intake_form,2026/07/16,
CNSYft1RJ3Dk5C9,003fVHnyADvkxtUuX8,opt_in,SG,active,web_form,intake_form,2026/07/03,
CNSppnkW8QSfgBT,003hwBhsRRLFHQtcoz,opt_in,MY,active,web_form,intake_form,2026/06/30,
CNSu5yXroUqQE85,003ToGJ1QZwez3VcBb,opt_in,IN,active,web_form,intake_form,2026/03/07,
CNSOUFfYSv3o7KX,003fB2gpBLzHfz3tVv,consent,IN,active,web_form,intake_form,2026/07/19,
CNSy6TVVUyPPYJ9,003qmlMjWWPel8XOFD,soft_opt_in,TH,active,web_form,intake_form,2026/07/13,
CNShsfhfvVL7mV8,003wGetDCcdx1seP32,opt_in,IN,active,web_form,intake_form,2026/07/02,
CNS2u9yKVatdLIm,003j9dCgZ51vTfGPlc,opt_in,TH,active,web_form,intake_form,2026/07/12,
CNSxZR7YiHQMLog,003vgJRysqU2Q96M3j,soft_opt_in,SG,active,web_form,intake_form,2026/07/12,
CNSDuj08s1oFRDj,003QS18VR6HfPQBGxb,soft_opt_in,MY,active,web_form,intake_form,2026/07/19,
CNSQ2Z0ScMutGSh,003Qv4XNiMyjkl1SXN,soft_opt_in,MY,active,web_form,intake_form,2026/07/07,
CNS1nFsT9ydZvj0,003t9ZYE51mxR8KCDX,soft_opt_in,TH,active,web_form,intake_form,2026/06/07,
CNSd73Xl2FUzt0Q,003T2H2hsfWkrC5Gj1,opt_in,IN,active,web_form,intake_form,2026/07/05,
CNSvBREwWzzeHUs,003u7g1TPvYjics61E,consent,IN,active,web_form,intake_form,2026/09/07,
CNSJzgiuWYL3Zd2,003XspthdpAOYNDeh1,consent,IN,active,web_form,intake_form,2026/07/09,
CNSKiCSEs5jnnZV,003xe9HIGYGJby3EcO,opt_in,IN,active,web_form,intake_form,2026/07/06,
CNS2KgRY2jy8BR1,003cwIv0Pl1XRDSEOl,opt_in,SG,active,web_form,intake_form,2026/07/05,
CNSEl8dhGPvLBjO,003cWPmsw3Xd3PvrhZ,opt_in,IN,active,web_form,intake_form,2026/12/07,
CNSpzFtSM9lPVyX,003fBM0lIsugfuQstC,consent,IN,withdrawn,web_form,intake_form,2026/07/02,
CNSPyrOPCxahhfh,003GZVRk8bj2MRYCci,opt_in,TH,active,web_form,intake_form,2026/07/14,
CNSLKKErSVgYLly,003uPrp9hbVlFHy6Jh,opt_in,SG,active,web_form,intake_form,2026/07/15,
CNSigueT63YIlz0,0035TCfZR92uQwTeJI,opt_in,SG,active,web_form,intake_form,2026/06/30,
CNSIYZHFeH1LIT0,003JKxDZJiN4fetzTU,opt_in,TH,active,web_form,intake_form,2026/07/20,
CNSn9Q5hl3MSlaJ,003lX9iBG63d1hHjtk,opt_in,IN,active,web_form,intake_form,2026/07/14,
CNSiKnPkfJq2Wcf,003GPkL8LjkQNU5Mv1,soft_opt_in,SG,active,web_form,intake_form,2026/07/02,
CNS9IkB8Qaptc88,003pZZRztDeSdkCAED,opt_in,IN,active,web_form,intake_form,2026/07/16,
CNSCiKFSuH6wMIG,003hrCpjgds8y3NAp9,soft_opt_in,SG,active,web_form,intake_form,2026/07/06,
CNScpcmjt21n9iM,003GD9pnLwddsFM41P,consent,IN,active,web_form,intake_form,2026/07/17,
CNSriUNBeJqqyP5,003mxJseyGCWJr0NRN,soft_opt_in,ID,active,web_form,intake_form,2026/07/05,
CNS8qRB8SjIneOU,003iTvZEHDjM5Giu7N,soft_opt_in,MY,active,web_form,intake_form,2026/08/07,
CNSKQP0GMkA0juY,003vRhALtY5U3SObME,opt_in,MY,active,web_form,intake_form,2026/07/13,
CNSMperhIhRJAev,003K8ShmbCuAjASnAG,opt_in,ID,withdrawn,web_form,intake_form,2026/07/20,
CNSvXrj3Zoragyo,003RX3URPZSqNEm9pr,opt_in,MY,active,web_form,intake_form,2026/07/12,
CNShlHU4tL0ZFgH,003RIy5z0w9XZjscs9,soft_opt_in,ID,active,web_form,intake_form,2026/07/10,
CNSJrMg5dku8Wyl,003pdQ5HoOodgAvTEg,soft_opt_in,MY,active,web_form,intake_form,2026/07/10,
CNS42zELiqaRGTj,003IVU27c66lA41l76,consent,IN,active,web_form,intake_form,2026/04/07,
CNSVrd6UOxTXpRM,003PIHF48i2GDrmZhv,consent,IN,active,web_form,intake_form,2026/07/13,
CNSwZDGsr8BH8T4,003GufzQgliEu7paqy,opt_in,SG,active,web_form,intake_form,2026/07/07,
CNSf8tAXu2fOfeU,003754TXtShO68sxNo,soft_opt_in,MY,active,web_form,intake_form,2026/07/07,
CNSdfVsJ7FZ3a98,003HCHTxe6Khd1J5Gm,opt_in,IN,active,web_form,intake_form,2026/07/12,
CNSiEFGRR4IShza,003GADKdJDRZtUbzq0,opt_in,MY,active,web_form,intake_form,2026/07/19,
CNSVaTBSIVwpVQ8,003lXiXPUP9Ax5yC36,opt_in,ID,active,web_form,intake_form,2026/07/15,
CNSC9kR74WH5ole,003WbtDRUIBIy0opDw,opt_in,SG,expired,web_form,intake_form,2026/11/07,
CNS8dBFykxhv6Rp,003McCMRT3dpVczCoI,opt_in,IN,active,web_form,intake_form,2026/07/17,
CNSEsqnaVOKzn7t,003oAtrdJ8L4V6lORB,opt_in,IN,active,web_form,intake_form,2026/07/19,
CNSc7D5N2FdwaND,0032ot2TjZD6dJA9AJ,consent,IN,active,web_form,intake_form,2026/07/10,
CNSaw4UlzwagBFm,003RMMc3emZWLUQJnE,opt_in,TH,active,web_form,intake_form,2026/07/01,
CNSjAh6FajXQqoE,0036pJuXsyDIPwtqxG,opt_in,IN,active,web_form,intake_form,2026/07/12,
CNSB5lIZrgCQ1Ck,003qJ7LLUAsjmvoyK1,opt_in,IN,active,web_form,intake_form,2026/07/04,
CNSaw43Tmhmsciz,003Fl64IP9dHc12e80,opt_in,ID,active,web_form,intake_form,2026/07/13,
CNSkQm8E9QrhAFJ,003QFbaIJAabHUrIsb,opt_in,SG,active,web_form,intake_form,2026/07/15,
CNSWX4zGU7V10yi,003x9zDKpSotR02fP2,opt_in,IN,active,web_form,intake_form,2026/07/03,
CNSijwGaXRpdR1v,0036con53S4KErc7eR,opt_in,SG,active,web_form,intake_form,2026/07/12,
CNSBEssFfWBpNjU,003KpK12yR5IvyWViY,opt_in,IN,active,web_form,intake_form,2026/07/16,
CNSXh3qSpQ0BmET,003YCFowJ8yBlRLQyf,opt_in,SG,active,web_form,intake_form,2026/07/02,
CNSm2LOOjohizcr,003a8tCxWrgiflBCJJ,soft_opt_in,MY,active,web_form,intake_form,2026/06/07,
CNSNmf3dyAHtSOo,003KHkRykirtrFjekB,opt_in,ID,active,web_form,intake_form,2026/07/07,
CNSdGBPdthrxr8w,003a8zv1NyZ3vCvB00,consent,IN,active,web_form,intake_form,2026/07/13,
CNSdlcadQVunsEr,003yr0Yzxh7KmLIlRX,opt_in,IN,active,web_form,intake_form,2026/07/19,
CNSq8FxvthgQaRJ,003qQjTBYyeCMELzIG,opt_in,ID,active,web_form,intake_form,2026/07/04,
CNSZxVXLHMxpPrn,0039YBgagqoGVHJLSK,consent,IN,active,web_form,intake_form,2026/07/18,
CNSgiOVMhcL964P,003tvDYnHEwEgCUSCu,opt_in,SG,active,web_form,intake_form,2026/06/07,
CNS7ge8INvtUEWm,003kvJB9DoZzOllOQB,soft_opt_in,SG,active,web_form,intake_form,2026/07/17,
CNSmAJTq54W226J,003lxumDhqQ3FH9OuM,soft_opt_in,ID,expired,web_form,intake_form,2026/07/11,
CNSTh6BeEAH78GY,003RiuhpthlxSjGyAM,soft_opt_in,TH,active,web_form,intake_form,2026/06/30,
CNSS9isc9KdYSmV,0033w8aFim0y9JGPFA,consent,IN,active,web_form,intake_form,2026/07/12,
CNS3GekCWGyJXyz,003JGhKhrXI0xI0WcW,opt_in,ID,active,web_form,intake_form,2026/07/19,
CNSakKnLSa47YGD,003ZVLSw3TNOBkNiYn,soft_opt_in,MY,active,web_form,intake_form,2026/07/15,
CNS2osTrJhkocIp,0039WYA6dr3PiS3ipj,soft_opt_in,ID,active,web_form,intake_form,2026/07/09,
CNS84r7ir3YdPp0,003S74xD8FuLa3X2Uf,soft_opt_in,MY,active,web_form,intake_form,2026/07/05,
CNSPwOMxuf8T4Jq,003iK2FYv5RWdcgOY1,soft_opt_in,MY,active,web_form,intake_form,2026/07/04,
CNSsudO0a0woU9r,003PxqfxQ5PkdzOtUS,opt_in,MY,active,web_form,intake_form,2026/07/05,
CNSIQ3X8XLgUVSy,0033BSiEeoyfUZggux,opt_in,SG,active,web_form,intake_form,2026/07/20,
